loading
(u'raining', 13.155591168821202)
(u'writings', 12.056978880153091)
(u'schlegel', 12.056978880153091)
(u'hordes', 12.056978880153091)
(u'woods', 12.056978880153091)
(u'hanging', 10.757695896022831)
(u'woody', 11.209681019765888)
(u'payoff', 11.363831699593145)
(u'videoed', 12.056978880153091)
(u'eligible', 10.447540967718991)
(u"paso's", 12.462443988261256)
(u'jet-setting', 13.155591168821202)
(u'wholeheartedly', 13.155591168821202)
(u'lord', 8.9659364267947748)
(u'meadows', 11.769296807701311)
(u'lved', 13.155591168821202)
(u'dread', 13.155591168821202)
(u'gw--looks', 12.056978880153091)
(u'regional', 8.3934172340234454)
(u'dell', 8.2211172356905085)
(u"yale's", 13.155591168821202)
(u'delp', 12.462443988261256)
(u'appropriation', 11.076149627141366)
(u'klaus', 10.853006075827155)
(u'basics', 10.6706845190332)
(u'scholar', 9.9775373384732546)
(u'wednesday', 8.7735645341473187)
(u'arnaud', 12.056978880153091)
(u'eutilities', 11.363831699593145)
(u'specialties', 12.462443988261256)
(u'testmode', 12.056978880153091)
(u'succession', 9.394391053127638)
(u'stereotypical', 11.769296807701311)
(u'commented', 10.15985889526721)
(u'croatian', 12.056978880153091)
(u'esop', 11.209681019765888)
(u"tom's", 11.363831699593145)
(u'miller', 9.1482579835887297)
(u'preface', 13.155591168821202)
(u'eleanore', 12.462443988261256)
(u'tivities', 13.155591168821202)
(u'sustaining', 11.363831699593145)
(u'poiled', 13.155591168821202)
(u'shellshocked', 13.155591168821202)
(u'errors', 10.6706845190332)
(u'tiered', 12.056978880153091)
(u'cooking', 12.462443988261256)
(u'fingers', 11.076149627141366)
(u'notches', 13.155591168821202)
(u'designing', 11.076149627141366)
(u'numeral', 13.155591168821202)
(u'increasing', 8.7611420141487617)
(u'succumb', 11.363831699593145)
(u'shocks', 11.769296807701311)
(u'hobby', 11.209681019765888)
(u'specialist', 9.9367153439530007)
(u'taqua', 13.155591168821202)
(u'reporter', 10.516533839205943)
(u'herb', 11.5461532563871)
(u"voter's", 11.769296807701311)
(u'ongc', 13.155591168821202)
(u'herd', 12.056978880153091)
(u'reported', 6.0383856656568566)
(u'counter-terrorism', 12.056978880153091)
(u'marketmile', 12.056978880153091)
(u'ates', 13.155591168821202)
(u'affiliated', 10.6706845190332)
(u'virtuoso', 13.155591168821202)
(u'calculate', 11.5461532563871)
(u'flumiani', 12.462443988261256)
(u'kids', 10.020096952892052)
(u'uplifting', 13.155591168821202)
(u'unwillingness', 11.769296807701311)
(u'reactivated', 12.056978880153091)
(u"foundation's", 10.38300244658142)
(u'controversy', 10.6706845190332)
(u'american-statesman', 13.155591168821202)
(u'dependencies', 13.155591168821202)
(u'poston', 10.6706845190332)
(u'military', 8.7012438725676926)
(u'cancellation', 10.111068731097777)
(u'numerical', 13.155591168821202)
(u'golden', 10.322377824764985)
(u'swan', 9.3489286790508803)
(u'divide', 10.111068731097777)
(u'explained', 9.394391053127638)
(u'lengthen', 11.769296807701311)
(u'lynne', 10.958366591484982)
(u"boards's", 13.155591168821202)
(u"barb's", 11.5461532563871)
(u'classifieds', 13.155591168821202)
(u'opponents', 10.111068731097777)
(u'derivatives', 10.111068731097777)
(u'cheating', 12.462443988261256)
(u'spoke', 8.4921520747091339)
(u'longworth', 13.155591168821202)
(u'insecurity', 11.5461532563871)
(u'dispatcher', 13.155591168821202)
(u'statesmanship', 12.056978880153091)
(u'symphony', 11.5461532563871)
(u'telegraph', 11.363831699593145)
(u'care', 8.0316271894179412)
(u'tex-mex', 12.462443988261256)
(u'playboy', 11.363831699593145)
(u'standardized', 12.056978880153091)
(u'populations', 11.209681019765888)
(u'benefiting', 12.056978880153091)
(u'hereby', 9.9367153439530007)
(u'yahoo', 13.155591168821202)
(u'hurt', 6.1150547786052458)
(u'glass', 13.155591168821202)
(u"chuy''s", 11.769296807701311)
(u'thinkpad', 12.462443988261256)
(u'matanovic', 12.462443988261256)
(u'adnan', 11.769296807701311)
(u'nightline', 13.155591168821202)
(u'circumstances', 9.4920295226915545)
(u'leaper', 12.462443988261256)
(u'morally', 11.769296807701311)
(u'rcpt', 13.155591168821202)
(u'asp-based', 12.056978880153091)
(u'self-styled', 13.155591168821202)
(u'starview', 12.056978880153091)
(u'accomplishment', 11.209681019765888)
(u'after-tax', 12.462443988261256)
(u'rulings', 12.056978880153091)
(u'marroquin', 13.155591168821202)
(u'temperatures', 13.155591168821202)
(u'concepts', 9.8233866586459975)
(u'information-intensive', 12.056978880153091)
(u'revenues', 9.394391053127638)
(u'example', 8.7988823421316091)
(u'grimes', 13.155591168821202)
(u'wang', 11.5461532563871)
(u'hyatt', 9.8233866586459975)
(u'unjust', 12.462443988261256)
(u'chasm', 13.155591168821202)
(u'table', 8.7247743699778866)
(u'masaru', 12.056978880153091)
(u'currency', 9.6002431073317869)
(u'promulgated', 12.462443988261256)
(u'reviewing', 9.7216039643360546)
(u'brookeview', 13.155591168821202)
(u'counseling', 11.209681019765888)
(u'pinto', 12.462443988261256)
(u'dyke', 13.155591168821202)
(u'absolute', 10.38300244658142)
(u'provincial', 11.5461532563871)
(u'daviles', 13.155591168821202)
(u'reful', 13.155591168821202)
(u'tality', 13.155591168821202)
(u'feature', 9.0284567837761092)
(u'revisit', 12.056978880153091)
(u'janata', 11.363831699593145)
(u'scratch-off', 13.155591168821202)
(u'granville', 13.155591168821202)
(u'symposium', 10.15985889526721)
(u'pre-integrating', 13.155591168821202)
(u'ronnie', 10.111068731097777)
(u're-alignments', 12.056978880153091)
(u'trisha', 13.155591168821202)
(u'mueller', 12.462443988261256)
(u'oceans', 13.155591168821202)
(u'funny', 11.209681019765888)
(u'dinnie', 12.056978880153091)
(u'minimized', 13.155591168821202)
(u'misunderstanding', 13.155591168821202)
(u'kafue', 13.155591168821202)
(u'mcquaid', 12.462443988261256)
(u'off-label', 12.056978880153091)
(u'internorth', 11.363831699593145)
(u'well-reasoned', 12.056978880153091)
(u'helsinki', 12.056978880153091)
(u'wins', 8.6229916756679454)
(u'laamistad', 12.056978880153091)
(u'headquarters', 9.4420191021168929)
(u'harte-hanks', 11.209681019765888)
(u'cigarettes', 11.209681019765888)
(u'cross-town', 12.056978880153091)
(u'keeps', 10.590641811359664)
(u'tournaments', 12.056978880153091)
(u'democratic', 9.0780537249154811)
(u'wing', 10.15985889526721)
(u'wine', 10.958366591484982)
(u'senators', 10.020096952892052)
(u'feedback', 7.5534723479414998)
(u'sanchez', 11.209681019765888)
(u'dreamed', 11.769296807701311)
(u'liberal-redistribution', 13.155591168821202)
(u'gladchuk', 11.363831699593145)
(u'owens', 11.363831699593145)
(u'knowledge-intensive', 13.155591168821202)
(u'welcomes', 12.056978880153091)
(u'aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacvbh', 12.056978880153091)
(u'deregulating', 11.5461532563871)
(u'greenebaum', 12.462443988261256)
(u'cips', 10.958366591484982)
(u'rankings', 10.21115218965476)
(u'stevens', 11.769296807701311)
(u'tually', 13.155591168821202)
(u'auditors', 11.5461532563871)
(u'all-enron', 13.155591168821202)
(u'matured', 12.056978880153091)
(u'endeavoring', 13.155591168821202)
(u'wales', 11.363831699593145)
(u'easier', 10.064548715462886)
(u'oemcomputer', 12.462443988261256)
(u'glorify', 11.5461532563871)
(u'enrich', 11.363831699593145)
(u'mtnl', 11.363831699593145)
(u'ndly', 13.155591168821202)
(u'educating', 12.462443988261256)
(u'memorialize', 12.462443988261256)
(u'effects', 9.0951481582747817)
(u'kennybunkport', 11.769296807701311)
(u'braised', 13.155591168821202)
(u'blink', 12.462443988261256)
(u'silver', 10.265219410925036)
(u'prize', 10.111068731097777)
(u'represents', 8.9214846642239412)
(u'giusti', 12.056978880153091)
(u'hartwick', 13.155591168821202)
(u'debut', 10.853006075827155)
(u'disconnection', 13.155591168821202)
(u'transformative', 11.363831699593145)
(u'rorist', 13.155591168821202)
(u'luding', 13.155591168821202)
(u'lobkowicz', 12.056978880153091)
(u'burial', 12.056978880153091)
(u'blazes', 13.155591168821202)
(u'commune', 12.056978880153091)
(u'series', 8.265242040599448)
(u'displacement', 11.769296807701311)
(u'solution', 8.0993453634728922)
(u'contracting', 11.076149627141366)
(u'phone-to-pc', 13.155591168821202)
(u"we'd", 8.689683050166618)
(u'acct', 13.155591168821202)
(u'laboratory', 11.5461532563871)
(u'truman', 12.056978880153091)
(u'disposed', 10.590641811359664)
(u'falsity', 12.056978880153091)
(u'uncollected', 13.155591168821202)
(u'neff', 11.076149627141366)
(u'tejano', 12.056978880153091)
(u'oprah', 11.363831699593145)
(u'waive', 10.757695896022831)
(u'mason', 11.5461532563871)
(u'adapt', 11.769296807701311)
(u'eury', 13.155591168821202)
(u'villette', 12.056978880153091)
(u'cheerfully', 12.056978880153091)
(u'foundation', 7.822872375555832)
(u'koonce', 13.155591168821202)
(u'clarence', 11.5461532563871)
(u'sellout', 12.056978880153091)
(u'strate', 13.155591168821202)
(u'meinschein', 12.462443988261256)
(u'assures', 11.209681019765888)
(u'lydecker', 13.155591168821202)
(u'jennie', 12.462443988261256)
(u'encountering', 13.155591168821202)
(u'ambriz', 13.155591168821202)
(u'crowned', 13.155591168821202)
(u'stacy', 9.0612466065991004)
(u'cornerstone', 12.462443988261256)
(u'silent', 12.056978880153091)
(u'exposing', 12.462443988261256)
